feature,importance_gain
hip_R_d_mean,0.16447748
shoulder_R_mean,0.109853305
wrist_y_rel_R_min,0.10616093
wrist_y_rel_R_mean,0.08424075
hip_R_std,0.08230243
shoulder_R_max,0.080445856
hip_R_ptp,0.07578722
hip_R_mean,0.038687408
knee_R_d_max,0.023005676
knee_L_d_max,0.021977339
hip_L_d_mean,0.0131439185
wrist_y_rel_L_mean,0.008904763
shoulder_R_d_mean,0.008732518
elbow_R_d_mean,0.008184824
hip_y_d_max,0.007900627
wrist_y_rel_R_d_mean,0.007855356
knee_L_d_mean,0.0071578175
knee_R_std,0.006925659
wrist_y_rel_L_max,0.006717371
wrist_y_rel_L_min,0.0066190385
shoulder_R_d_max,0.0065579307
knee_R_d_mean,0.0061555114
wrist_y_rel_R_ptp,0.0059444485
elbow_L_std,0.005432043
knee_L_mean,0.0053883865
hip_L_d_max,0.005371943
hip_L_ptp,0.005368331
hip_L_std,0.004663731
elbow_L_d_mean,0.0044700163
wrist_y_rel_R_std,0.0042773224
elbow_R_min,0.0040099127
elbow_L_max,0.0037460513
wrist_y_rel_L_std,0.0033080333
hip_R_min,0.0032397986
elbow_R_mean,0.0030570473
hip_y_std,0.0029673404
elbow_L_d_max,0.0028416943
elbow_R_std,0.0028025808
hip_y_d_mean,0.002767186
elbow_L_min,0.002753474
hip_R_max,0.002723151
hip_y_mean,0.0026688443
shoulder_L_min,0.0026196248
wrist_y_rel_L_d_mean,0.0025626689
hip_L_mean,0.0025234888
shoulder_L_mean,0.0025056526
elbow_R_d_max,0.0022718688
shoulder_L_max,0.0021717094
hip_L_max,0.0020929112
hip_y_min,0.002043764
knee_L_std,0.0019513299
hip_L_min,0.0018663324
wrist_y_rel_R_max,0.0016209787
elbow_L_mean,0.0015631703
elbow_R_ptp,0.0015302391
wrist_y_rel_L_d_max,0.0015063211
motion_ratio_upper_lower,0.0013798887
shoulder_R_min,0.0013580838
knee_R_ptp,0.0012530063
wrist_y_rel_R_d_max,0.0010601957
shoulder_R_std,0.0009511093
knee_L_min,0.00094823254
knee_R_max,0.000843237
wrist_y_rel_L_ptp,0.0007540434
knee_R_mean,0.00058982085
elbow_R_max,0.00049686566
knee_R_min,0.00048954523
knee_L_max,0.00047716306
shoulder_L_d_mean,0.00039748717
shoulder_R_ptp,0.00033976554
elbow_L_ptp,0.00017066573
shoulder_L_d_max,6.5695334e-05
hip_R_d_max,0.0
hip_y_ptp,0.0
shoulder_L_std,0.0
shoulder_L_ptp,0.0
hip_y_max,0.0
knee_L_ptp,0.0
